scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V692,,contre,contre,contre,False
VTANR5L16V693,abstention,,contre,contre,False
VTANR5L16V694,abstention,contre,contre,contre,False
VTANR5L16V695,contre,pour,abstention,pour,False
VTANR5L16V696,contre,abstention,contre,contre,False
VTANR5L16V697,pour,contre,pour,pour,False
VTANR5L16V698,contre,pour,pour,pour,False
VTANR5L16V699,,pour,abstention,contre,False
VTANR5L16V7,pour,pour,contre,pour,False
VTANR5L16V70,pour,pour,abstention,pour,False
VTANR5L16V700,contre,pour,pour,pour,False
VTANR5L16V701,contre,pour,pour,pour,False
VTANR5L16V702,pour,contre,abstention,abstention,False
VTANR5L16V703,pour,pour,contre,contre,False
VTANR5L16V704,abstention,abstention,pour,contre,False
VTANR5L16V705,contre,pour,pour,pour,False
VTANR5L16V706,contre,pour,pour,pour,False
VTANR5L16V707,contre,pour,pour,pour,False
VTANR5L16V708,,pour,pour,pour,False
VTANR5L16V709,abstention,pour,pour,pour,False
VTANR5L16V71,pour,contre,abstention,contre,False
VTANR5L16V711,pour,contre,abstention,contre,False
VTANR5L16V712,,pour,contre,contre,False
VTANR5L16V713,,pour,abstention,contre,False
VTANR5L16V714,abstention,contre,abstention,abstention,False
VTANR5L16V715,contre,abstention,pour,abstention,False
VTANR5L16V718,pour,pour,abstention,abstention,False
VTANR5L16V719,,abstention,pour,pour,False
VTANR5L16V720,,pour,pour,pour,False
VTANR5L16V721,,pour,pour,pour,False
VTANR5L16V722,,pour,pour,pour,False
VTANR5L16V723,,pour,pour,pour,False
VTANR5L16V724,,contre,pour,abstention,False
VTANR5L16V725,,pour,,contre,False
VTANR5L16V726,,pour,pour,pour,False
VTANR5L16V727,,pour,pour,pour,False
VTANR5L16V73,contre,contre,abstention,contre,False
VTANR5L16V736,pour,abstention,pour,pour,False
VTANR5L16V737,,pour,pour,pour,False
VTANR5L16V743,pour,pour,,pour,False
VTANR5L16V744,pour,pour,,pour,False
VTANR5L16V752,,,contre,contre,False
VTANR5L16V753,pour,pour,abstention,pour,False
VTANR5L16V754,,,contre,contre,False
VTANR5L16V755,pour,,contre,contre,False
VTANR5L16V757,,contre,contre,contre,False
VTANR5L16V758,pour,contre,abstention,abstention,False
VTANR5L16V759,pour,contre,contre,contre,False
VTANR5L16V760,,contre,contre,contre,False
VTANR5L16V761,pour,contre,abstention,contre,False
VTANR5L16V762,pour,contre,contre,contre,False
VTANR5L16V763,pour,contre,pour,abstention,False
VTANR5L16V764,abstention,pour,abstention,pour,False
VTANR5L16V765,contre,abstention,pour,pour,False
VTANR5L16V766,,contre,,contre,False
VTANR5L16V767,pour,contre,,contre,False
VTANR5L16V768,pour,abstention,pour,pour,False
VTANR5L16V769,contre,pour,abstention,abstention,False
VTANR5L16V770,,contre,contre,contre,False
VTANR5L16V774,contre,contre,pour,contre,False
VTANR5L16V775,,,contre,contre,False
VTANR5L16V776,pour,pour,pour,contre,False
VTANR5L16V777,contre,pour,pour,pour,False
VTANR5L16V778,,contre,contre,contre,False
VTANR5L16V779,,contre,contre,contre,False
VTANR5L16V780,pour,pour,,pour,False
VTANR5L16V781,contre,pour,abstention,abstention,False
VTANR5L16V785,,,pour,pour,False
VTANR5L16V787,,pour,contre,contre,False
VTANR5L16V789,pour,pour,abstention,pour,False
VTANR5L16V794,pour,abstention,pour,contre,False
VTANR5L16V796,contre,abstention,pour,contre,False
VTANR5L16V798,pour,contre,pour,pour,False
VTANR5L16V8,pour,pour,contre,pour,False
VTANR5L16V801,pour,pour,abstention,contre,False
VTANR5L16V805,,pour,pour,pour,False
VTANR5L16V808,pour,pour,,pour,False
VTANR5L16V809,pour,abstention,abstention,contre,False
VTANR5L16V81,contre,contre,abstention,contre,False
VTANR5L16V811,contre,contre,abstention,contre,False
VTANR5L16V813,pour,pour,contre,abstention,False
VTANR5L16V815,,pour,pour,pour,False
VTANR5L16V818,contre,contre,abstention,contre,False
VTANR5L16V819,,contre,contre,contre,False
VTANR5L16V820,,contre,contre,contre,False
VTANR5L16V821,,abstention,contre,contre,False
VTANR5L16V823,contre,contre,pour,abstention,False
VTANR5L16V827,pour,,pour,pour,False
VTANR5L16V829,pour,,pour,pour,False
VTANR5L16V831,pour,,pour,pour,False
VTANR5L16V843,contre,,contre,contre,False
VTANR5L16V845,contre,,contre,contre,False
VTANR5L16V846,abstention,contre,pour,pour,False
VTANR5L16V847,contre,,contre,contre,False
VTANR5L16V848,,,contre,contre,False
VTANR5L16V849,pour,contre,pour,pour,False
VTANR5L16V851,pour,,contre,contre,False
VTANR5L16V855,,,pour,contre,False
VTANR5L16V856,,abstention,pour,contre,False
VTANR5L16V857,abstention,pour,pour,pour,False
VTANR5L16V858,pour,abstention,pour,abstention,False
VTANR5L16V859,pour,abstention,abstention,pour,False
VTANR5L16V86,,contre,contre,contre,False
