,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V732,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V733,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V734,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V735,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V736,gagné,gagné,gagné,pas joué,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V737,gagné,pas joué,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V738,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V739,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V74,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V740,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V741,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V742,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné
VTANR5L16V743,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V744,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,pas joué,perdu
VTANR5L16V745,gagné,perdu,gagné,perdu,perdu,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V746,perdu,gagné,perdu,gagné,gagné,gagné,gagné,pas joué,perdu,gagné,gagné
VTANR5L16V747,gagné,perdu,gagné,perdu,perdu,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V748,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V749,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V75,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V750,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V751,gagné,perdu,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V752,gagné,pas joué,gagné,pas joué,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V753,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V754,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V755,gagné,perdu,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V756,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V757,gagné,pas joué,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V758,gagné,perdu,gagné,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,pas joué
VTANR5L16V759,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V76,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V760,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V761,gagné,perdu,gagné,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V762,gagné,perdu,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V763,perdu,perdu,perdu,gagné,perdu,gagné,perdu,perdu,gagné,perdu,pas joué
VTANR5L16V764,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V765,gagné,perdu,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V766,gagné,pas joué,gagné,gagné,perdu,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V767,gagné,perdu,gagné,gagné,perdu,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V768,gagné,perdu,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V769,gagné,perdu,gagné,gagné,perdu,perdu,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V77,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V770,gagné,pas joué,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V771,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V772,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V773,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V774,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,perdu,gagné,gagné,perdu
VTANR5L16V775,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V776,perdu,perdu,perdu,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,gagné
VTANR5L16V777,gagné,perdu,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V778,gagné,pas joué,gagné,gagné,perdu,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V779,gagné,pas joué,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V78,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V780,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,pas joué,perdu
VTANR5L16V781,gagné,gagné,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V782,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V783,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V784,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V785,gagné,pas joué,gagné,pas joué,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V786,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V787,gagné,pas joué,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V788,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V789,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V79,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V790,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V791,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V792,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V793,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V794,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,gagné,perdu
VTANR5L16V795,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V796,gagné,perdu,gagné,pas joué,pas joué,pas joué,pas joué,pas joué,gagné,gagné,perdu
VTANR5L16V797,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V798,gagné,gagné,gagné,perdu,pas joué,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V799,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V8,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné,perdu
VTANR5L16V80,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V800,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V801,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V802,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V803,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V804,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V805,gagné,pas joué,gagné,perdu,perdu,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V806,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V807,perdu,gagné,gagné,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V808,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V809,perdu,perdu,perdu,pas joué,perdu,perdu,pas joué,pas joué,gagné,pas joué,gagné
VTANR5L16V81,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V810,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V811,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V812,gagné,perdu,gagné,perdu,perdu,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V813,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,pas joué,gagné,gagné,pas joué
VTANR5L16V814,gagné,gagné,gagné,gagné,gagné,perdu,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V815,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V816,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V817,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V818,gagné,gagné,perdu,gagné,perdu,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V819,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V82,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V820,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V821,gagné,pas joué,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V822,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,pas joué,pas joué,perdu,perdu
VTANR5L16V823,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V824,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V825,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V826,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V827,gagné,gagné,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V828,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V829,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V83,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V830,gagné,gagné,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V831,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V832,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V833,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V834,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V835,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V836,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V837,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V838,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V839,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V84,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V840,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V841,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V842,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V843,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V844,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V845,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V846,gagné,pas joué,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V847,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V848,gagné,pas joué,gagné,pas joué,gagné,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V849,gagné,perdu,perdu,gagné,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V85,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V850,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V851,gagné,perdu,gagné,pas joué,gagné,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V852,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V853,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V854,perdu,perdu,pas joué,perdu,perdu,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V855,gagné,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,gagné,perdu,gagné
VTANR5L16V856,gagné,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,gagné,perdu,gagné
VTANR5L16V857,gagné,pas joué,gagné,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V858,gagné,gagné,gagné,pas joué,perdu,gagné,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V859,gagné,gagné,gagné,pas joué,pas joué,gagné,pas joué,pas joué,gagné,pas joué,gagné
VTANR5L16V86,gagné,pas joué,gagné,gagné,pas joué,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V860,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V861,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V862,gagné,gagné,gagné,pas joué,pas joué,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V863,gagné,gagné,gagné,gagné,perdu,pas joué,pas joué,gagné,gagné,pas joué,gagné
VTANR5L16V864,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V865,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V866,gagné,pas joué,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V867,gagné,gagné,gagné,gagné,perdu,pas joué,pas joué,pas joué,gagné,pas joué,gagné
VTANR5L16V868,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,gagné,gagné,pas joué,pas joué
VTANR5L16V869,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,pas joué,gagné,gagné,pas joué
VTANR5L16V87,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V870,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V871,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V872,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,gagné,gagné,gagné,pas joué
VTANR5L16V873,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,pas joué,gagné,pas joué,pas joué
VTANR5L16V874,gagné,pas joué,gagné,gagné,gagné,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V875,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,pas joué,gagné,pas joué,pas joué
VTANR5L16V876,gagné,pas joué,gagné,gagné,pas joué,pas joué,pas joué,gagné,gagné,gagné,pas joué
VTANR5L16V877,gagné,pas joué,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V878,gagné,pas joué,gagné,perdu,gagné,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V879,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V88,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V880,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V881,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,gagné
VTANR5L16V882,gagné,pas joué,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V883,gagné,pas joué,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V884,gagné,pas joué,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V885,gagné,pas joué,gagné,pas joué,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V886,gagné,pas joué,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V887,gagné,pas joué,pas joué,perdu,perdu,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V888,gagné,pas joué,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V889,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V89,gagné,perdu,gagné,perdu,perdu,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V890,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V891,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V892,gagné,pas joué,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V893,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,gagné,perdu
VTANR5L16V894,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V895,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V896,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V897,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V898,gagné,gagné,gagné,perdu,gagné,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V899,gagné,gagné,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V9,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V90,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V900,gagné,gagné,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V901,gagné,pas joué,gagné,pas joué,perdu,perdu,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V902,gagné,pas joué,gagné,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V903,gagné,gagné,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V904,gagné,pas joué,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V905,gagné,gagné,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V906,gagné,pas joué,gagné,perdu,gagné,gagné,perdu,gagné,gagné,gagné,pas joué
VTANR5L16V907,gagné,gagné,gagné,pas joué,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V908,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V909,gagné,pas joué,gagné,pas joué,gagné,pas joué,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V91,gagné,perdu,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V910,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V911,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V912,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V913,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V914,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V915,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V916,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V917,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V918,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V919,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V92,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V920,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V921,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V922,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V923,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,perdu,gagné,gagné,gagné
VTANR5L16V924,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V925,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V926,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V927,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V928,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V929,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V93,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V930,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V931,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V932,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné
VTANR5L16V933,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné
VTANR5L16V934,perdu,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné
VTANR5L16V935,perdu,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné
VTANR5L16V936,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V937,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V938,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V939,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V94,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V940,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V941,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V942,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V943,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V944,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V945,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V946,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V947,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V948,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V949,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V95,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V950,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V951,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V952,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V953,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V954,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,perdu
