scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V116,pour,pour,pour,pour,True,l'amendement de suppression n° 540 de Mme Bassire à l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V100,pour,pour,pour,pour,True,l'amendement n° 846 de Mme Calvez à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V115,pour,pour,pour,pour,True,l'amendement n° 263 de M. Amard après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V113,,abstention,,abstention,False,l'amendement n° 522 de Mme Le Pen après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V93,pour,pour,pour,pour,True,l'amendement n° 511 de M. Echaniz à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V97,pour,pour,pour,pour,True,l'amendement n° 260 de Mme Legrain à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V103,pour,pour,pour,pour,True,l'amendement n° 549 de M. Maudet après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V110,pour,pour,pour,,False,l'amendement n° 346 de M. Nury et les amendements identiques suivants après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V106,pour,pour,pour,pour,True,l'amendement n° 261 de M. Sala après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V104,pour,pour,pour,pour,True,le sous-amendement n° 1002 de M. Coquerel et le sous-amendement identique suivant à l'amendement n° 4 de Mme Pires Beaune et les amendements identiques suivants après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V114,pour,pour,pour,pour,True,l'amendement n° 892 de Mme Sas après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V107,,,,contre,False,l'amendement n° 958 de Mme Le Pen après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V108,pour,pour,pour,pour,True,l'amendement n° 615 de M. Coquerel après l'article 2 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V102,pour,pour,pour,pour,True,l'amendement n° 284 de M. Arenas après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V109,abstention,abstention,pour,contre,False,l'amendement n° 520 de Mme Le Pen après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V139,pour,pour,pour,pour,True,l'amendement n° 533 de M. Echaniz à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,False
VTANR5L16V138,pour,pour,pour,pour,True,l'amendement n° 1065 de Mme Youssouffa et les amendements identiques suivants à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,False
VTANR5L16V137,pour,pour,pour,pour,True,l'amendement n° 535 de Mme Youssouffa à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,False
VTANR5L16V127,pour,pour,pour,pour,True,l'amendement n° 603 de M. Coquerel à l'article 6 et État B du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-25,False
